J,K,network_size,sample_size,rep,runtime_sec,num_binary,num_ct,num_constr,m_sol
2,1,2*1,100,1,0.06840808299966739,303,2,12,"[[0.08968563]
 [3.26513844]]"
2,1,2*1,100,2,0.04021041700070782,303,2,12,"[[1.93720877]
 [2.414207  ]]"
2,1,2*1,100,3,0.043772167000497575,303,2,12,"[[3.92316145]
 [4.82593809]]"
2,1,2*1,100,4,0.04923941600100079,303,2,12,"[[1.27458058]
 [1.33995093]]"
2,1,2*1,100,5,0.03774729200085858,303,2,12,"[[6.3185501]
 [0.       ]]"
2,1,2*1,250,1,0.08915420899938908,753,2,12,"[[7.55636338]
 [1.16522215]]"
2,1,2*1,250,2,0.18885704100102885,753,2,12,"[[3.87176136]
 [2.73125955]]"
2,1,2*1,250,3,0.13062862500009942,753,2,12,"[[3.01103078]
 [3.69269668]]"
2,1,2*1,250,4,0.11671904099966923,753,2,12,"[[0.        ]
 [4.43469028]]"
2,1,2*1,250,5,0.11631537500034028,753,2,12,"[[5.09337514]
 [1.04086737]]"
2,1,2*1,500,1,1.0645500829996308,1503,2,12,"[[1.59822863]
 [1.17639298]]"
2,1,2*1,500,2,0.612386750000951,1503,2,12,"[[3.44077327]
 [1.62932821]]"
2,1,2*1,500,3,1.0487485410012596,1503,2,12,"[[0.88647885]
 [6.06055676]]"
2,1,2*1,500,4,0.1588791249996575,1503,2,12,"[[2.46286394]
 [1.60452808]]"
2,1,2*1,500,5,0.5634936249989551,1503,2,12,"[[7.96729628]
 [0.        ]]"
2,1,2*1,1000,1,0.33005933399908827,3003,2,12,"[[3.75461571]
 [3.06093726]]"
2,1,2*1,1000,2,0.2931069580008625,3003,2,12,"[[9.73355529]
 [0.        ]]"
2,1,2*1,1000,3,0.2886898750002729,3003,2,12,"[[0.        ]
 [1.16479607]]"
2,1,2*1,1000,4,0.47156312500010245,3003,2,12,"[[5.29936618]
 [3.12979067]]"
2,1,2*1,1000,5,0.6034185839998827,3003,2,12,"[[6.54036671]
 [2.04002693]]"
2,1,2*1,1500,1,0.4673173749997659,4503,2,12,"[[0.       ]
 [5.7023036]]"
2,1,2*1,1500,2,0.46367237500089686,4503,2,12,"[[7.04349379]
 [0.        ]]"
2,1,2*1,1500,3,0.5875048750003771,4503,2,12,"[[2.49231454]
 [1.16595927]]"
2,1,2*1,1500,4,0.5032991249991028,4503,2,12,"[[1.72517211]
 [1.82842373]]"
2,1,2*1,1500,5,0.487929749999239,4503,2,12,"[[3.4166615]
 [0.       ]]"
2,2,2*2,100,1,0.0663680839988956,404,4,16,"[[0.71801892 4.21377046]
 [0.69148621 0.        ]]"
2,2,2*2,100,2,0.09478254100031336,404,4,16,"[[2.67475251 0.03072132]
 [1.64717759 0.        ]]"
2,2,2*2,100,3,0.09435687499899359,404,4,16,"[[0.         1.65210386]
 [1.38796023 1.65030493]]"
2,2,2*2,100,4,0.06464929200046754,404,4,16,"[[0.         3.83172605]
 [3.01224554 1.459415  ]]"
2,2,2*2,100,5,0.12057683300008648,404,4,16,"[[0.08086654 3.81469448]
 [3.99235313 0.        ]]"
2,2,2*2,250,1,0.6825763329998153,1004,4,16,"[[4.07296063 1.99272179]
 [3.41204801 0.        ]]"
2,2,2*2,250,2,0.7855271660009748,1004,4,16,"[[2.22339494 0.        ]
 [3.51079556 4.39078808]]"
2,2,2*2,250,3,1.0845669589998579,1004,4,16,"[[1.70373880e+00 4.02845472e+00]
 [4.44089210e-16 3.01591001e+00]]"
2,2,2*2,250,4,0.1996604579999257,1004,4,16,"[[2.22044605e-16 1.99363103e+00]
 [3.20619408e+00 0.00000000e+00]]"
2,2,2*2,250,5,0.32163849999960803,1004,4,16,"[[0.27560315 0.        ]
 [5.59023279 1.95418366]]"
2,2,2*2,500,1,2.3975242920005257,2004,4,16,"[[1.15062334 0.        ]
 [3.38153478 4.24584646]]"
2,2,2*2,500,2,3.230815666000126,2004,4,16,"[[0.         5.77316379]
 [1.89633499 2.40991899]]"
2,2,2*2,500,3,1.9976737500001036,2004,4,16,"[[0.         2.16043588]
 [4.39730113 4.42899696]]"
2,2,2*2,500,4,2.1900802920008573,2004,4,16,"[[4.6587976  0.00743817]
 [4.7630902  0.        ]]"
2,2,2*2,500,5,0.30948062499919615,2004,4,16,"[[2.43876625e+00 2.49740572e-04]
 [0.00000000e+00 2.49858591e+00]]"
2,2,2*2,1000,1,7.741010333000304,4004,4,16,"[[5.89313832 2.84911448]
 [0.         3.67670907]]"
2,2,2*2,1000,2,0.5385363750010583,4004,4,16,"[[0.03170792 0.        ]
 [1.06635462 6.65240614]]"
2,2,2*2,1000,3,7.262200082999698,4004,4,16,"[[3.11464889 1.87223997]
 [0.         1.77173214]]"
2,2,2*2,1000,4,3.459543417000532,4004,4,16,"[[3.08468454 6.04335854]
 [0.         1.27368749]]"
2,2,2*2,1000,5,1.5549198329990759,4004,4,16,"[[5.02511056 0.        ]
 [3.6173424  4.2013939 ]]"
